Timestamp,Possui experiência com análise de dados?,Possui experiência com programação?,Em que área você trabalha na RFB?,Qual o seu cargo na RFB?,A sua área de trabalho realiza análise de dados com bases de dados volumosas?,Você lê gráficos com facilidade?,Quais desses softwares você já utilizou?,Em quanto tempo você imagina  começar a usar os conhecimentos adquiridos neste treinamento?,O que lhe levou a fazer esse treinamento?,Que conteúdos você espera aprender neste treinamento?
12/9/2019 14:18:19,Não,Sim,Arrecadação e Cobrança,ATRFB,Sim,Sim,"Excel, Tableau, Java",Imediatamente,Interesse na área,Mais sobre coleta/tratamento de dados
12/9/2019 14:18:49,Não,Sim,Outra,ATRFB,Não,Talvez,"Excel, Java",Imediatamente,Interesse no assunto,Facilidade em coleta de dados e visualização dinâmica de dados.
12/9/2019 14:18:51,Talvez,Não,Fiscalização,ATRFB,Sim,Sim,Excel,Imediatamente,Necessidade de aprender as novas ferramentas que já são usadas pela RFB,"BIG DATA, DATA MINING"
12/9/2019 14:18:56,Sim,Sim,Outra,ATRFB,Sim,Sim,"Excel, R, Python, Java",Imediatamente,Indicação da chefia,Técnicas iniciais de ciência de dados
12/9/2019 14:19:01,Não,Não,Outra,ATRFB,Não,Sim,Excel,Em até seis meses,Estar apto para as demandas da organização.,A lógica por trás da ciência de dados
12/9/2019 14:19:09,Sim,Sim,Aduana,AFRFB,Sim,Sim,"Excel, R, Python",Imediatamente,Melhorar meu desempenho profissinal,Aprender a analisar dados
12/9/2019 14:19:21,Talvez,Não,Outra,ATRFB,Não,Sim,Excel,Não tenho ideia,Possibilidade de aplicar futuramente os conhecimentos adquiridos. Curiosidade.,
12/9/2019 14:19:30,Talvez,Sim,Outra,ATRFB,Sim,Talvez,"Excel, Python",Imediatamente,Necessidade profissional para adquirir mais conhecimentos na área,Tópicos importantes de Ciência de Dados
12/9/2019 14:19:37,Sim,Sim,Outra,AFRFB,Sim,Sim,"Excel, R, Python",Imediatamente,Aprimoramento e atualização de conceitos.,Novas técnicas para análise de de dados.
12/9/2019 14:19:42,Talvez,Sim,Atendimento,AFRFB,Não,Sim,"Excel, Java",Imediatamente,Interesse em criar um serviço de ciência de dados na minha região fiscal,"Fundamentos de ciência de dados, engenharia e análise de dados"
12/9/2019 14:19:55,Talvez,Sim,Outra,AFRFB,Talvez,Sim,Excel,Imediatamente,Expectativa de uso no dia a dia.,Espero entender melhor os conceitos de análise de dados incluindo Big Data e Data Mining.
12/9/2019 14:19:58,Não,Talvez,Regulamentação de tributação,AFRFB,Não,Talvez,Python,Não tenho ideia,interesse pelo potencial da matéria.,"panorama geral, conforme descreve o título do curso. "
12/9/2019 14:20:37,Talvez,Sim,Fiscalização,AFRFB,Sim,Sim,"Excel, R, Python",Imediatamente,Necessidade de atualizar conhecimento sobre análise de dados,Algumas técnicas estatísticas para análise de dados e alguma linguagem de programação ou recurso computacional que permita as análises
12/9/2019 14:20:43,Não,Talvez,Controle de benefícios fiscais,AFRFB,Não,Talvez,Excel,Em até seis meses,A necessidade de trabalhar com grande volume de dados,"Visão geral do processo de análise de dados, evolvendo todas as suas etapas"
12/9/2019 14:20:53,Não,Talvez,Outra,ATRFB,Talvez,Sim,"Excel, Tableau",Não tenho ideia,Começar a aprender Ciência de Dados,"Preparação, análise e visualização de dados. Um pouco de R talvez."
12/9/2019 14:20:57,Talvez,Sim,Controle interno,ATA,Sim,Sim,"Excel, Java",Não tenho ideia,"Aprender melhor sobre a coleta e o manuseio de dados, de tal forma que possa ser útil em minhas tarefas.",Tratamento de dados.
12/9/2019 14:21:13,Não,Não,Outra,ATRFB,Não,Talvez,Excel,Não tenho ideia,Conhecimento de nova tecnologia,"O que é Ciência de Dados, aplicabilidade, conceitos básicos, ferramentas básicas."
12/9/2019 14:21:13,Não,Não,Outra,ATRFB,Talvez,Sim,Excel,Imediatamente,Interesse em ferramentas que possibilitarão mudar a sistemática de trabalho atual.,"Primeiramente, conceitos iniciais de big data e aplicabilidade em casos práticos."
12/9/2019 14:21:17,Sim,Sim,Fiscalização,AFRFB,Sim,Sim,"Excel, Java",Em até seis meses,"Adquirir conhecimentos básicos em mineração de dados e ferramentas afins, para avaliar se as ferramentas são aplicáveis na área fim (fiscalização PJ).  ",mineração de dados e ferramentas relacionadas
12/9/2019 14:22:07,Talvez,Sim,Outra,ATRFB,Talvez,Sim,"Excel, Java",Não tenho ideia,Obter conhecimento na área de Ciência de Dados para eventual utilização em projetos da RFB,Os fundamentos listados no programa do curso e alguma prática inicial
12/9/2019 14:25:51,Não,Não,Outra,ATRFB,Talvez,Talvez,Excel,Não tenho ideia,Curiosidade.,
12/9/2019 14:29:09,Não,Não,Outra,ATA,Talvez,Sim,Excel,Não tenho ideia,Possibilidade de utilização na atividade que exerço.,Fundamentos de análise estatística
12/9/2019 14:29:32,Não,Não,Arrecadação e Cobrança,ATRFB,Não,Talvez,Excel,Após seis meses,Necessidade de acompanhar a inovação tecnológica que a RFB nos apresenta.,Gostaria de aprender algo sobre inteligência artificial. 
12/9/2019 14:29:33,Talvez,Não,Arrecadação e Cobrança,ATRFB,Talvez,Sim,"Excel, Java",Em até seis meses,A importância deste conhecimento para melhor desenvolvimento do trabalho / acompanhar as inovações tecnológicas cada vez mais fundamentais para o nosso cotidiano,Interpretação de dados e fundamentos da linguagem de programação 